poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
81373,1692,KAConsulting LLC,1920,Citizens United,KAConsulting,337,The Polling Company Inc.,B/C,IVR/Live Phone,Michigan,10/27/22,10/29/22,,,,164432,501,lv,,lv,,10/31/22 14:16,,https://www.politico.com/newsletters/playbook-pm/2022/10/31/affirmative-action-gets-a-chilly-scotus-reception-00064259,,False,REP,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,41.0
81351,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/25/22,10/29/22,,,,164375,1543,lv,,lv,True,10/30/22 13:19,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-30-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.0
81388,176,Glengariff Group Inc.,"167,168",Detroit News | WDIV-TV,Glengariff Group,117,Glengariff Group,B/C,Live Phone,Michigan,10/26/22,10/28/22,,,,164456,600,lv,,lv,,10/31/22 19:29,,https://www.clickondetroit.com/decision-2022/2022/10/31/poll-where-michigan-voters-stand-on-whitmer-dixon-1-week-before-election/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.1
81333,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/23/22,10/27/22,,,,164343,1822,lv,,lv,True,10/28/22 10:54,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-28-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.3
81265,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/21/22,10/25/22,,,,164089,1378,lv,,lv,True,10/26/22 10:24,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-26-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.5
81221,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/19/22,10/23/22,,,,163928,1459,lv,,lv,True,10/24/22 13:44,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-24-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,44.2
81209,1250,Trafalgar Group,1857,Michigan News Source,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,Michigan,10/18/22,10/21/22,,,,163896,1079,lv,,lv,,10/24/22 09:12,,https://www.thetrafalgargroup.org/news/mi-gov-1023/,,False,REP,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,47.9
81195,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/17/22,10/21/22,,,,163841,1904,lv,,lv,True,10/22/22 11:15,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-22-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.5
81174,317,Mitchell,801,MIRS News Service,Mitchell Research & Communications,213,Mitchell Research & Communications,C-,IVR,Michigan,10/19/22,10/19/22,,,,163787,541,lv,,lv,,10/21/22 10:45,,https://www.nationalreview.com/corner/republicans-close-gap-in-michigan-and-minnesota-governor-races-polls-say/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,47.0
81151,1347,Cygnal Political,,,Cygnal,67,Cygnal,B+,IVR/Online/Text,Michigan,10/15/22,10/19/22,,,,163714,1793,lv,,lv,True,10/20/22 11:21,,https://www.cygn.al/cygnal-momentum-tracking-poll-michigan-statewide-10-20-22/,,False,,8969,2022,Governor,0,,11/8/22,general,False,False,REP,Dixon,28659,Tudor M. Dixon,43.6
