,Seasons[1],Episodes,Episodes,Originally aired,Originally aired
,Seasons[1],Episodes,Episodes.1,First aired,Last aired
0,1,6,6,3 September 2003,22 October 2003
1,2,6,6,23 January 2005,27 February 2005
2,3,13,13,14 September 2005,7 December 2005
3,4,10,10,15 April 2007,17 June 2007
4,5,10,10,9 April 2008,11 June 2008
5,6,3,3,16 December 2007,2 March 2008
6,7,8,8,4 November 2009,17 December 2009
7,8,2,2,10 June 2009,17 June 2009
8,9,8,8,8 September 2010,27 October 2010
9,10,6,6,27 February 2011,28 March 2011
10,11,13,13,12 August 2011,13 April 2012
11,12,13,13,3 August 2012,15 April 2013
12,13,11,11,16 December 2013,9 May 2014
13,14,11,11,5 January 2015,2 March 2015
14,15,10,10,4 January 2016,17 February 2016
15,16,10,10,7 June 2016,13 February 2017
16,17,10,10,20 February 2017,3 October 2017
17,18,10,10,13 February 2018,4 July 2018
18,19,10,10,2 January 2019,11 March 2019
19,20,10,10,9 January 2020,12 March 2020
20,21,10,10,4 April 2021,6 June 2021
21,22,10,10,3 January 2022,12 February 2022
22,23,10,10,3 January 2023[2],7 March 2023
